type,LearningRate,BatchSize,Optomizer,DropoutRate,ValidAccuracy,Runtime
Baseline,0.01,32,SGD,N/A,0.72,5.04276158412298
Baseline,0.001,64,SGD,N/A,0.5582,4.43068911631902
Baseline,0.0001,128,SGD,N/A,0.233,4.09025319019953
Baseline,0.01,32,Adam,N/A,0.1054,2.83160226742427
Baseline,0.001,64,Adam,N/A,0.7168,3.14673456748327
Baseline,0.0001,128,Adam,N/A,0.67,4.08264303207398
Enhanced,0.01,32,SGD,0,0.707,3.95336635112762
Enhanced,0.001,64,SGD,0.2,0.6484,4.31868695020676
Enhanced,0.0001,128,SGD,0.5,0.4122,3.94185458024343
Enhanced,0.01,32,Adam,0,0.5742,5.10423240661621
Enhanced,0.001,64,Adam,0.2,0.7052,3.10700341065725
Enhanced,0.0001,128,Adam,0.5,0.7038,4.02228099107742
Deeper,0.01,32,SGD,0,0.7364,5.12269534667333
Deeper,0.001,64,SGD,0.2,0.6726,4.41344486474991
Deeper,0.0001,128,SGD,0.5,0.4182,3.99211419423421
Deeper,0.01,32,Adam,0,0.6722,3.93562691609065
Deeper,0.001,64,Adam,0.2,0.7418,4.50459558169047
Deeper,0.0001,128,Adam,0.5,0.7232,4.03714162906011
Deeper,0.001,128,Adam,0.5,0.7502,3.01046308279037
Deeper,0.01,128,Adam,0.5,0.6508,4.00575187206268
Deeper,0.001,64,Adam,0.5,0.7404,3.08050270875295
Deeper,0.001,64,SGD,0.5,0.6486,4.23619103829066
Deeper,0.001,64,Adam,0,0.7418,4.31045985619227
Final,,,,,0.7266,
