type,LearningRate,BatchSize,Optomizer,DropoutRate,ValidAccuracy,Runtime
Baseline,0.01,32,SGD,N/A,0.990588235294118,4.99915043115616
Baseline,0.001,64,SGD,N/A,0.967156862745098,4.53518116076787
Baseline,0.0001,128,SGD,N/A,0.734117647058824,4.20238493680954
Baseline,0.0001,128,Adam,N/A,0.989411764705882,4.23281750679016
Baseline,0.001,64,Adam,N/A,0.992058823529412,4.58880770206451
Baseline,0.01,32,Adam,N/A,0.976176470588235,5.15391839345296
Enhanced,0.01,32,SGD,0,0.991078431372549,5.09149460792542
Enhanced,0.001,64,SGD,0.2,0.986176470588235,4.52323473294576
Enhanced,0.0001,128,SGD,0.5,0.927549019607843,4.21594928900401
Enhanced,0.0001,128,Adam,0.5,0.989901960784314,4.2613386631012
Enhanced,0.001,64,Adam,0.2,0.992058823529412,4.6826176961263
Enhanced,0.01,64,SGD,0,0.990490196078431,4.59885411659877
Deeper,0.01,32,SGD,0,0.992254901960784,5.32650270462036
Deeper,0.001,64,SGD,0.2,0.987843137254902,4.79164954423904
Deeper,0.0001,128,SGD,0.5,0.937254901960784,4.32566956679026
Deeper,0.0001,128,Adam,0.5,0.992843137254902,4.37728263934453
Deeper,0.001,64,Adam,0.2,0.993725490196079,4.7970026810964
Deeper,0.01,32,Adam,0,0.990980392156863,5.56009562015534
final,0.001,64,Adam,0.2,0.9895,
