type,LearningRate,BatchSize,Optomizer,DropoutRate,ValidAccuracy,Runtime
Deep,0.0001,128,SGD,0.5,0.1234,3.00198202133179
Medium,0.01,32,Adam,0,0.201,2.07143088976542
Deep,0.01,32,Adam,0,0.2566,1.95535446405411
Medium,0.0001,128,SGD,0.5,0.2608,2.91381986141205
Shallow,0.01,32,Adam,0,0.3124,3.26850158770879
Shallow,0.001,32,Adam,0.2,0.3228,3.50571449597677
Shallow,0.01,32,SGD,0,0.327,4.50877513488134
Shallow,0.001,64,Adam,0.2,0.3366,1.84219264189402
Shallow,0.001,64,Adam,0.2,0.3366,1.83092704614004
Deep,0.001,64,SGD,0.2,0.3612,3.18012564579646
Shallow,0.0001,128,SGD,0.5,0.374,4.99150993426641
Shallow,0.001,64,SGD,0.2,0.3934,4.80872676372528
Shallow,0.0001,128,Adam,0.5,0.3946,4.46809712251027
Medium,0.001,64,SGD,0.2,0.4562,3.06962498426437
Medium,0.001,64,Adam,0.2,0.4966,2.16579980452855
Medium,0.001,128,Adam,0.5,0.4974,2.78043901920319
Deep,0.001,64,Adam,0.2,0.5048,3.23562958240509
Medium,0.01,32,SGD,0,0.5096,3.68308267593384
Deep,0.01,32,SGD,0,0.5096,3.64725453853607
Medium,0.01,32,SGD,0,0.5186,3.53419763644536
Deep,0.0001,128,Adam,0.5,0.5244,2.95856880346934
Medium,0.0001,64,Adam,0.5,0.526,2.99901756445567
Medium,0.0001,128,Adam,0.5,0.529,2.88093231519063
Final,0.0001,128,Adam,0.5,0.5281,
