type,LearningRate,BatchSize,Optomizer,DropoutRate,ValidAccuracy,Runtime
shallow,0.01,32,SGD,0,0.919019607843137,7.80372718175252
shallow,0.0001,128,SGD,0.5,0.84,4.87110784053803
shallow,0.001,64,SGD,0.2,0.904019607843137,5.42469987074534
shallow,0.001,64,Adam,0.2,0.915294117647059,4.17310575644175
shallow,0.0001,128,Adam,0.5,0.915392156862745,4.91768010059993
shallow,0.01,32,Adam,0,0.878627450980392,1.1310981909434
shallow,0.0001,32,SGD,0,0.880294117647059,3.23911811908086
shallow,0.01,128,SGD,0,0.915588235294118,3.02324441274007
shallow,0.01,32,SGD,0.5,0.91843137254902,3.27246548732122
Medium,0.01,32,SGD,0,0.974019607843137,3.45981359481812
Medium,0.001,64,SGD,0.2,0.914803921568627,3.14705094099045
Medium,0.0001,128,SGD,0.5,0.557549019607843,2.93501334190369
Medium,0.001,64,Adam,0.2,0.97578431372549,3.16839905182521
Medium,0.01,32,Adam,0,0.956960784313725,3.42909452120463
Medium,0.0001,128,Adam,0.5,0.970490196078431,2.98026381333669
Medium,0.001,128,Adam,0.5,0.976862745098039,2.96940231720607
Medium,0.01,64,Adam,0.2,0.960196078431373,3.1365594625473
Medium,0.001,32,Adam,0.2,0.977450980392157,3.52467838923136
Medium,0.001,64,Adam,0,0.975392156862745,3.09180898269018
Deep,0.01,32,SGD,0,0.975490196078431,3.70647249619166
Deep,0.001,64,SGD,0.2,0.883039215686275,3.3551161646843
Deep,0.0001,128,SGD,0.5,0.101470588235294,1.69192212820053
Deep,0.0001,128,Adam,0.5,0.973529411764706,3.11746515830358
Deep,0.001,64,Adam,0.2,0.97843137254902,3.46719042062759
Deep,0.01,32,Adam,0,0.942745098039216,3.59054980675379
Deep,0.01,64,Adam,0.2,0.955196078431373,3.33765604893367
Final,0.001,64,Adam,0.2,0.9743,
