type,LearningRate,BatchSize,Optomizer,DropoutRate,ValidAccuracy,Runtime
shallow,0.01,32,SGD,0,0.9190196078431373,7.803727181752523
shallow,0.0001,128,SGD,0.5,0.84,4.871107840538025
shallow,0.001,64,SGD,0.2,0.9040196078431373,5.424699870745341
shallow,0.001,64,Adam,0.2,0.9152941176470588,4.173105756441752
shallow,0.0001,128,Adam,0.5,0.9153921568627451,4.917680100599925
shallow,0.01,32,Adam,0,0.8786274509803922,1.1310981909434001
shallow,0.0001,32,SGD,0,0.8802941176470588,3.2391181190808616
shallow,0.01,128,SGD,0,0.9155882352941176,3.0232444127400715
shallow,0.01,32,SGD,0.5,0.9184313725490196,3.272465487321218
Medium,0.01,32,SGD,0,0.9740196078431372,3.4598135948181152
Medium,0.001,64,SGD,0.2,0.9148039215686274,3.147050940990448
Medium,0.0001,128,SGD,0.5,0.5575490196078431,2.9350133419036863
Medium,0.001,64,Adam,0.2,0.9757843137254902,3.1683990518252054
Medium,0.01,32,Adam,0,0.9569607843137254,3.4290945212046307
Medium,0.0001,128,Adam,0.5,0.9704901960784313,2.9802638133366903
Medium,0.001,128,Adam,0.5,0.9768627450980392,2.969402317206065
Medium,0.01,64,Adam,0.2,0.9601960784313726,3.1365594625473023
Medium,0.001,32,Adam,0.2,0.9774509803921568,3.524678389231364
Medium,0.001,64,Adam,0,0.975392156862745,3.0918089826901753
Deep,0.01,32,SGD,0,0.9754901960784313,3.7064724961916604
Deep,0.001,64,SGD,0.2,0.8830392156862745,3.3551161646842957
Deep,0.0001,128,SGD,0.5,0.10147058823529412,1.691922128200531
Deep,0.0001,128,Adam,0.5,0.9735294117647059,3.117465158303579
Deep,0.001,64,Adam,0.2,0.9784313725490196,3.467190420627594
Deep,0.01,32,Adam,0,0.9427450980392157,3.590549806753794
Deep,0.01,64,Adam,0.2,0.9551960784313726,3.337656048933665
